Word,kriyA-kriyArWa_kriyA,kriyA-object,kriyA-subject,subject-subject_samAnAXikaraNa,to-infinitive,viSeRya-as_saMbanXI,viSeRya-det_viSeRaNa,viSeRya-for_saMbanXI,viSeRya-of_saMbanXI,viSeRya-on_saMbanXI,viSeRya-saMKyA_viSeRaNa,viSeRya-to_saMbanXI,viSeRya-viSeRaNa,Followed_By,POS,Meaning
salve,yes,yes,human,no,human,no,no,no,no,no,no,no,no,their,verb,xavA_kara
salve,no,no,no,yes,no,no,human,yes,no,no,no,no,yes,for,noun,ORaXi
salve,no,no,yes,yes,no,no,human,yes,no,no,no,no,no,for,noun,ilAja/upacAra
salve,no,no,no,yes,no,no,human,yes,no,no,no,no,no,for,noun,aparAXa_boXa_se_mukwi
salve,no,yes,no,no,no,no,human,no,no,no,no,no,yes,on,noun,lepa
salve,no,yes,no,no,no,no,human,no,no,no,no,no,yes,to,noun,ArAma
salve,no,no,humanhuman,no,no,no,no,no,no,no,no,no,no,to,noun,ilAja/upacAra
salve,no,no,yes,no,no,no,human,no,yes,no,no,no,yes,of,noun,upacAra
salve,no,no,no,no,no,yes,human,no,no,yes,no,no,no,on,noun,marahama
salve,no,no,no,no,no,no,no,no,no,no,no,no,no,none,not_defined,SAnwa_kara
